Date,JP_LCEMD,JP_EMD,SH_LCEMD,SH_EMD,B_LCEMD,B_EMD
30/09/2009,6.8630,,,4.7245,3.3225,4.9013
31/10/2009,2.1208,,,1.2506,0.9594,0.1477
30/11/2009,2.7206,,,1.6849,2.2216,1.0877
31/12/2009,0.3247,,,0.1733,-0.3593,0.3742
31/01/2010,0.2646,,,-0.5711,0.2546,0.3773
28/02/2010,1.0919,,,0.6971,1.1223,1.3614
31/03/2010,6.3944,,,3.7508,4.0119,2.4826
30/04/2010,1.8398,,,1.0026,1.5714,0.8261
31/05/2010,-7.8083,,,-2.4751,-4.3449,-1.5028
30/06/2010,1.2111,,,2.9793,0.8879,1.9429
31/07/2010,7.5038,,,4.5512,5.5232,4.0588
31/08/2010,0.9205,,,2.6159,0.6815,2.3926
30/09/2010,7.8961,,,1.7881,5.7588,1.5738
31/10/2010,2.9346,,,1.6069,1.2843,1.8487
30/11/2010,-5.9061,,,-2.8526,-4.6462,-3.0990
31/12/2010,3.3461,,,0.0188,3.1358,-0.4544
31/01/2011,-1.6742,,,-0.4861,-1.5463,-0.6018
28/02/2011,1.9449,,1.3707,0.0056,1.4890,0.2913
31/03/2011,3.9177,,1.9740,1.9893,2.9471,1.1865
30/04/2011,5.9874,,4.1132,1.6641,4.7276,1.3609
31/05/2011,-1.1411,,-0.3108,0.9212,-1.1988,1.5345
30/06/2011,0.0007,,0.2852,0.5598,0.4595,0.9136
31/07/2011,1.7250,,0.9470,1.6996,1.3670,1.8485
31/08/2011,-0.6272,,0.5897,0.1008,0.0455,0.5159
30/09/2011,-10.9432,,-9.6020,-5.8203,-9.8254,-4.3578
31/10/2011,5.5500,,7.0086,5.7019,5.5777,4.4019
30/11/2011,-4.2088,,-5.5518,-2.5524,-3.4120,-0.8776
31/12/2011,-0.9082,,0.2084,1.4957,-1.4706,1.1274
31/01/2012,9.0300,,7.5125,3.1297,7.4153,1.5793
29/02/2012,3.3000,,2.6507,2.5054,2.8633,2.3977
31/03/2012,,,-2.2432,-0.2554,-1.9853,0.2225
30/04/2012,,,0.7788,0.8413,0.9613,1.6307
31/05/2012,,,-6.6142,-2.7757,-7.3195,-2.3172
30/06/2012,,,2.8017,2.4407,5.5784,3.5081
31/07/2012,,,3.1571,3.9638,2.2389,3.7077
31/08/2012,,,-0.7367,0.9313,-0.1124,1.1849
30/09/2012,,,3.0565,1.7067,2.6194,1.6271
31/10/2012,,,-0.0574,0.7387,0.5157,0.8871
30/11/2012,,,0.7141,0.6712,1.4097,1.1784
31/12/2012,,,1.7225,0.9796,2.1593,0.7095
31/01/2013,,,0.5894,-1.0727,0.7188,-1.3377
28/02/2013,,,-0.1402,-0.4321,-0.3219,-0.3105
31/03/2013,,,-0.9189,-0.6754,-0.5155,-0.6246
30/04/2013,,,2.5098,2.5133,3.4326,2.9175
31/05/2013,,,-6.3934,-3.6797,-6.2528,-3.5739
30/06/2013,,,-4.2505,-5.5840,-4.1302,-4.9134
31/07/2013,,,-0.9254,0.6715,-0.5576,1.2074
31/08/2013,,,-4.6682,-3.6401,-4.0931,-2.5610
30/09/2013,,,3.8480,3.1364,4.3981,2.6059
31/10/2013,,,3.4937,2.3415,2.7480,2.7669
30/11/2013,,,-5.1640,-3.3052,-3.6412,-1.7048
31/12/2013,,,-1.1410,0.2886,-0.5483,0.5052
31/01/2014,,,-5.0426,-1.2664,-4.6309,-0.6773
28/02/2014,,,4.5500,2.7718,3.9248,3.0306
31/03/2014,,,2.2268,1.6616,2.8095,1.3674
30/04/2014,,,0.8701,1.4882,0.8919,1.2414
31/05/2014,,,2.5735,3.1312,2.0793,3.1045
30/06/2014,,,0.5639,0.3905,1.0020,0.3553
31/07/2014,,,-0.7536,0.1629,-1.0592,0.3980
31/08/2014,,,-0.4153,-0.1390,0.4800,0.8447
30/09/2014,,,-5.4059,-2.4555,-5.1084,-1.8130
31/10/2014,,,1.4279,0.8773,1.5629,1.7120
30/11/2014,,,-2.2419,-0.9796,-1.3106,0.0899
31/12/2014,,,-7.2642,-3.9981,-5.9274,-2.3143
31/01/2015,,,0.1648,-0.6792,0.3354,0.9307
28/02/2015,,,-1.3322,1.7888,-1.3424,0.8521
